company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
America's Backyards & Outdoor Living,americasbackyards.com,v2_validated,63.75,55.0,TIER_B_ACTIVE,0.70125,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,2000,2,10,Trade only,Worldwide,,"furniture, outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, America's Backyards & Outdoor Living: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Buster & Punch,busterandpunch.com,v2_validated,46.25,45.0,TIER_B_ACTIVE,0.37000000000000005,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,1,10,Mixed,USA,,"furniture, lighting, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Project boards, Rep portal",Your 10 reps have no portal
Donald Choi Home,choihome.ca,v2_validated,55.25,52.0,TIER_B_ACTIVE,0.580125,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,500,1,10,B2B wholesale,Worldwide,,"furniture, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Donald Choi Home 40% slower than digital competitors, Your 10 reps have no portal"
GlobaLux Lighting,globaluxlighting.com,v2_validated,52.75,56.0,TIER_B_ACTIVE,0.58025,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,1,20,Mixed,Worldwide,,"lighting, outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool","No mobile site for High Point Market?, GlobaLux Lighting: Manual catalog navigation killing productivity, 2,000 SKUs but no search function"
Green Front Furniture,greenfront.com,v2_validated,63.25,59.0,TIER_B_ACTIVE,0.506,EDP2_Rep_Management,EDP2_Rep_Management,True,False,True,True,Poor,5000,1,10,Mixed,USA,,"furniture, outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Rep portal","Your 10 reps have no portal, 2,000 SKUs but no search function"
Lucas McKearn,lucasmckearn.com,v2_validated,45.75,39.0,TIER_B_ACTIVE,0.36600000000000005,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,22,1,10,Trade only,Unknown,"High Point Market, Lightovation","lighting, decor",crisis_intervention,8,2,2,"Comparison tool, Project boards, Rep portal",Your 10 reps have no portal
Oly Studio,olystudio.com,v2_validated,73.25,68.0,TIER_A_IMMEDIATE,0.8057500000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,,crisis_intervention,8,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Oly Studio: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Pebl Furniture,peblfurniture.com,v2_validated,66.75,65.0,TIER_B_ACTIVE,0.7342500000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,2,100,Mixed,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Rep portal","No mobile site for High Point Market?, Pebl Furniture: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Ratana International,ratana.com,v2_validated,50.75,53.0,TIER_B_ACTIVE,0.40599999999999997,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,1,10,Mixed,Unknown,,"furniture, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Theodore Alexander,theodorealexander.com,v2_validated,41.25,47.0,TIER_B_ACTIVE,0.33,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,2,100,Trade only,Worldwide,,"furniture, lighting, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Universal Furniture International,universalfurniture.com,v2_validated,48.25,53.0,TIER_B_ACTIVE,0.386,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,2,10,Trade only,USA,High Point Market,"furniture, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Wendover Art Group,wendoverart.com,v2_validated,51.75,55.0,TIER_B_ACTIVE,0.414,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,1,10,Trade only,Worldwide,,"lighting, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
